user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
washingtonpost,6665748878039842822,6984538740412681477,"Democratic lawmakers in Texas fled the state on Monday, potentially torpedoing new voter restrictions proposed by Republicans.",1626214654,20,https://www.tiktok.com/@washingtonpost/video/6984538740412681477?lang=en,39800,445,2428,356900
washingtonpost,6665748878039842822,6984449800271826181,99.5% of covid-19-related deaths so far have occurred among unvacccinated people.,1626193946,12,https://www.tiktok.com/@washingtonpost/video/6984449800271826181?lang=en,53700,1445,595,328900
washingtonpost,6665748878039842822,6984142464990940422,Rents are starting to surge in many parts of the country as the economy reopens and young people return rapidly to cities.,1626122389,15,https://www.tiktok.com/@washingtonpost/video/6984142464990940422?lang=en,26300,397,307,206100
washingtonpost,6665748878039842822,6984070695324110085,"For a few minutes on Sunday, billionaire Richard Branson and his Virgin Galactic crew flew on the edge of space. #SpaceFlight",1626105679,22,https://www.tiktok.com/@washingtonpost/video/6984070695324110085?lang=en,3749,27,44,30600
washingtonpost,6665748878039842822,6983031978878586118,😭😭😭😭😭😭,1625863833,36,https://www.tiktok.com/@washingtonpost/video/6983031978878586118?lang=en,17500,63,171,90300
washingtonpost,6665748878039842822,6982972086792834310,Want to help the Surfside condo collapse victims? Here’s how. #surfsidecondocollapse,1625849889,63,https://www.tiktok.com/@washingtonpost/video/6982972086792834310?lang=en,1174,29,19,16200
washingtonpost,6665748878039842822,6982653823772921094,"The ransomware attack last weekend struck between 800 and 1,500 businesses. #ransomware #explainer",1625775788,27,https://www.tiktok.com/@washingtonpost/video/6982653823772921094?lang=en,7293,50,79,48800
washingtonpost,6665748878039842822,6982594735340850437,Melinda French Gates will resign from the Bill and Melinda Gates Foundation in two years if she and her husband can’t work together.,1625762030,30,https://www.tiktok.com/@washingtonpost/video/6982594735340850437?lang=en,5864,14,34,45000
washingtonpost,6665748878039842822,6982283095814835462,"REvil, which operates largely out of Russia, has taken responsibility for striking up to 1,500 companies in the U.S., Europe and Asia. #cyberattack",1625689472,30,https://www.tiktok.com/@washingtonpost/video/6982283095814835462?lang=en,4105,16,35,29600
washingtonpost,6665748878039842822,6982209585377594630,I’ll answer your questions live on Friday at 3:30 pm ET. Go to our bio to submit questions now! #daveama,1625672359,14,https://www.tiktok.com/@washingtonpost/video/6982209585377594630?lang=en,2891,14,90,24500
washingtonpost,6665748878039842822,6981929893978279173,Republican candidates are increasingly focused on the last election - running on the falsehood that the 2020 race was stolen from Trump.,1625607242,34,https://www.tiktok.com/@washingtonpost/video/6981929893978279173?lang=en,12000,119,128,59800
washingtonpost,6665748878039842822,6981879051405315334,"Please welcome Chris, our summer intern! #ChrisTheIntern",1625595396,32,https://www.tiktok.com/@washingtonpost/video/6981879051405315334?lang=en,20000,140,186,108300
washingtonpost,6665748878039842822,6980429709385403653,Happy National UFO Day though 👽,1625257945,33,https://www.tiktok.com/@washingtonpost/video/6980429709385403653?lang=en,5256,45,56,30000
washingtonpost,6665748878039842822,6980367425690733830,The data so far indicates that the three U.S.-approved vaccines offer effective protection against all known variants of the virus. #DeltaVariant,1625243444,22,https://www.tiktok.com/@washingtonpost/video/6980367425690733830?lang=en,92300,3372,538,1400000
washingtonpost,6665748878039842822,6980046207989206277,"You have no control over what sort of data flows over Amazon’s new Sidewalk wireless network, which is built into Echo smart speaks and Ring cameras.",1625168654,20,https://www.tiktok.com/@washingtonpost/video/6980046207989206277?lang=en,11300,105,157,117300
